url,category
http://www.bare-co.com,Business
http://www.abccables.com/,Shopping
http://www.nipponcrystal.com,Business
http://www.roberthudson.org/,Arts
http://movies.yahoo.com/shop?d=hc&amp;id=1800012579&amp;cf=gen,Arts
http://srisarada.org/,Society
http://www.angelfire.com/sk/fortress/,Games
http://www.prostatehealth.com,Health
http://www.thelittleboatshop.com/,Business
http://www.multitechcorp.com,Business
http://pypvm.sourceforge.net/,Computers
http://www.weightwatchers.com.au,Health
http://tv.groups.yahoo.com/group/norahodonnell/,News
http://www.iphoneworld.ca,Computers
http://www.ivchealthcare.com/,Business
http://www.coolbee.com,Shopping
http://www.byzantinecommunications.com/adamhoward/pa/,Arts
http://www.yourfamilyaccountant.com.au,Business
http://socialistworld.net/publications/che/,Society
http://avenue.org/cove/,Society
http://www.iowaprairienetwork.org/,Home
http://www.unbsj.ca/arts/sociology/,Science
http://www.usenix.org/publications/login/login.html,Computers
http://www.guitarist.com/midis/midis.htm,Arts
http://www.quoitsdirect.com,Shopping
http://www.rollingstone.com/artists/dasefx,Arts
http://www.godsoloved.org,Society
http://www.advantagevirginia.com,Business
http://www.driftbasic.com,Sports
http://pe2swl.sprinterweb.net/19tdt105.htm,Recreation
http://www.ilog.com/products/jviews/,Computers
http://www.ksusentinel.com/,News
http://design.fashion.bg/,Computers
http://www.macklaw.com/,Society
http://judaism.about.com/library/asktherabbi/bl_simmons_burysuicide.htm?terms=suicide,Society
http://www-rohan.sdsu.edu/~nsslha/,Reference
http://basic1.easily.co.uk/036066/027011/,Society
http://www.antapex.net/,Computers
http://www.cee.cornell.edu/,Reference
http://www.onlineshakespeare.com/michell.htm,Arts
http://www.batterytrader.com,Shopping
http://www.akc.org/breeds/cocker_spaniel/index.cfm,Recreation
http://www.mikespeaks.com,Business
http://www.sf3.org/,Arts
http://members.macconnect.com/users/j/jimbob/classical/furtwaengler.html,Arts
http://www.bloom-design.com/,Business
http://www.mcsr.olemiss.edu/~mudws/,Arts
http://www.armana.co.uk,Computers
http://www.parenthoodplace.com/tachat.html,Health
http://www.soapysoles.com/,Shopping
http://www.creativedata.com/,Computers
http://www.patrou.com,Arts
http://www.rollingstone.com/artists/integrity,Arts
http://www.rivervalleywellness.com/,Health
http://www.horsforthharriers.co.uk/,Sports
http://www.etims.net/,Sports
http://www.cherokeeironworks.com/,Shopping
http://www.pluralism.org/,Society
http://www.culverpayroll.com/,Business
http://www.journalsleep.org,Health
http://www.uniquewoods.com/,Shopping
http://www.pushmp.com,Business
http://www.geocities.com/colosseum/pressbox/9615/ouarec.html,Sports
http://www.lotterymanual.com/,Games
http://www.rollingstone.com/artists/trevorrabin,Arts
http://www.optimnet.com/,Science
http://www.garni.ch/fish/,Computers
http://www.traceyfern.com/,Kids
http://www.9news.com,Arts
http://www.yolinux.com/tutorials/linuxtutorialc++stl.html,Computers
http://www.rz-reinigungssysteme.de/,Business
http://www.dontlink.com,Computers
http://www.gamespot.com/ps/driving/nascarheat/,Games
http://www.elafos.com,Business
http://www.nielsen-wurster.com/,Society
http://www.klipsun.com/,Recreation
http://www.topix.com/rss/outdoors/boating.xml,Recreation
http://barney.hartford.edu/pages/acad.u.econ.html,Reference
http://www.maltcompany.com,Science
http://www.countertoptransfauxmations.com,Arts
http://www.coolbreeze.co.za,Business
http://www.aurora.edu/biology/,Science
